State,Age Group,Gender,Race,Total Cost,IP Actual Cost,OP Actual Cost,Prescribed Drugs,Hospice Benefits,Federally Qualified Health Center,Rehabilative Services,Home Health Services,Month,Year
Alabama,0-18,Male,NonHispanic_White,65300528.4,60524390.99,10870665.36,47127579.28,4340293.614,2694632.9110000003,13455830.46,5266846.583000001,8,2021
Alabama,0-18,Male,AfricanAmerican,26098106.69,24189268.48,4344586.35,18835078.71,1734648.227,1076941.013,5377777.295,2104955.77,8,2021
Alabama,0-18,Male,Hispanic,3920450.7060000002,3633705.5330000003,652642.616,2829400.557,260578.3992,161777.795,807848.2872,316205.9008,8,2021
Alabama,0-18,Male,Asian,1153196.404,1068850.617,191974.1312,832265.1638,76648.85893,47586.7663,237627.7143,93011.62932000001,8,2021
Alabama,0-18,Male,AmericanIndian,339911.4176,315050.001,56585.5034,245315.0483,22592.70164,14026.47903,70042.16532,27415.72437,8,2021
Alabama,0-18,Male,OtherPacific_Islander,22938.80732,21261.043009999998,3818.653604,16555.003259999998,1524.660847,946.5722048,4726.771893,1850.140909,8,2021
Alabama,0-18,Male,TwoOrMore_Races,1803824.394,1671891.11,300285.0334,1301825.256,119893.7848,74434.99611000001,371696.1534,145488.3533,8,2021
Alabama,0-18,Female,NonHispanic_White,70392495.1,65243926.81,11718331.79,50802466.29,4678738.51,2904753.432,14505081.4,5677541.688999999,8,2021
Alabama,0-18,Female,AfricanAmerican,28133169.71,26075485.22,4683365.983,20303789.54,1869911.619,1160918.094,5797122.491,2269094.789,8,2021
Alabama,0-18,Female,Hispanic,4226157.335,3917052.514,703534.003,3050029.9110000003,280897.6304,174392.81,870842.212,340862.8209,8,2021
Alabama,0-18,Female,Asian,1243119.6840000001,1152196.83,206943.7785,897163.0536,82625.73915,51297.45953,256157.3102,100264.4362,8,2021
Alabama,0-18,Female,AmericanIndian,366416.8328,339616.7871,60997.89494,264444.0827,24354.42221,15120.227669999998,75503.87263,29553.531810000004,8,2021
Alabama,0-18,Female,OtherPacific_Islander,24727.51632,22918.924280000003,4116.422358,17845.91969,1643.549965,1020.3834630000001,5095.353368,1994.4101219999998,8,2021
Alabama,0-18,Female,TwoOrMore_Races,1944481.965,1802260.864,323700.4854,1403338.23,129242.7927,80239.24502,400680.0603,156833.1596,8,2021
Alabama,19-64,Male,NonHispanic_White,160830575.6,149992230.3,26939805.85,116792100.0,10756164.73,6677869.759,33346391.24,13052358.77,8,2021
Alabama,19-64,Male,AfricanAmerican,64277788.02,59946118.75,10766803.03,46677305.09,4298824.856000001,2668887.4,13327268.52,5216525.198,8,2021
Alabama,19-64,Male,Hispanic,9655792.367999999,9005090.152,1617386.313,7011852.4629999995,645768.3364,400919.5614,2002018.763,783625.0398,8,2021
Alabama,19-64,Male,Asian,2840241.0530000003,2648837.688,475752.4633,2062528.9430000002,189952.0692,117930.0625,588891.6892,230502.4718,8,2021
Alabama,19-64,Male,AmericanIndian,837177.7425,780760.4759,140230.8346,607942.5274,55989.48874,34760.579,173579.2863,67941.95823999999,8,2021
Alabama,19-64,Male,OtherPacific_Islander,56496.657470000006,52689.35727,9463.430554,41026.796330000005,3778.4317549999996,2345.805944,11713.93957,4585.040126,8,2021
Alabama,19-64,Male,TwoOrMore_Races,4442691.701,4143299.458,744169.7663,3226198.075,297122.1335,184465.6493,921141.6116,360550.8827,8,2021
Alabama,19-64,Female,NonHispanic_White,173371728.9,161688237.4,29040502.39,125899246.6,11594902.7,7198592.81,35946656.78,14070148.03,8,2021
Alabama,19-64,Female,AfricanAmerican,69290004.06,64620562.4,11606370.55,50317080.89,4634036.125,2877000.352,14366494.53,5623296.372,8,2021
Alabama,19-64,Female,Hispanic,10408726.14,9707283.844,1743505.924,7558618.624,696123.6848,432182.2342,2158131.02,844730.0983,8,2021
Alabama,19-64,Female,Asian,3061715.7210000004,2855387.216,512850.4127,2223359.627,204764.0413,127125.9444,634811.9435,248476.4598,8,2021
Alabama,19-64,Female,AmericanIndian,902458.7026,841642.1631,151165.6732,655348.3169,60355.40459,37471.11925,187114.5512,73239.89682000001,8,2021
Alabama,19-64,Female,OtherPacific_Islander,60902.121029999995,56797.93739,10201.36445,44225.96003,4073.0641130000004,2528.725839,12627.36235,4942.569724,8,2021
Alabama,19-64,Female,TwoOrMore_Races,4789121.336,4466383.258,802198.2043,3477768.675,320290.9507,198849.8046,992969.8574,388665.7101,8,2021
Alabama,65+,Male,NonHispanic_White,42341759.4,40501723.11,7274433.847,31536842.18,2904438.48,1803194.948,9004375.105,3524469.3660000004,8,2021
Alabama,65+,Male,AfricanAmerican,16922370.79,16186979.14,2907311.0939999996,12604061.44,1160792.22,720667.5854,3598702.0,1408594.69,8,2021
Alabama,65+,Male,Hispanic,2542074.078,2431603.738,436735.5059,1893378.7859999998,174373.9012,108258.4946,540596.0656,211598.7229,8,2021
Alabama,65+,Male,Asian,747748.3856,715253.6526,128465.2845,556935.3556,51291.89753,31844.121030000002,159015.7576,62241.539229999995,8,2021
Alabama,65+,Male,AmericanIndian,220403.2312,210825.2177,37865.89759,164159.9692,15118.588240000001,9386.241823,46870.82909,18346.05948,8,2021
Alabama,65+,Male,OtherPacific_Islander,14873.83769,14227.468680000002,2555.367322,11078.28013,1020.272826,633.4273622999999,3163.062086,1238.077634,8,2021
Alabama,65+,Male,TwoOrMore_Races,1169624.509,1118796.4009999998,200944.7939,871155.6647,80230.54496,49810.4244,248731.7004,97357.92302999999,8,2021
Alabama,65+,Female,NonHispanic_White,45643460.53,43659942.96,7841675.427,33996003.75,3130919.097,1943803.436,9706513.04,3799298.393,8,2021
Alabama,65+,Female,AfricanAmerican,18241933.59,17449198.0,3134015.711,13586893.62,1251307.8020000001,776863.3840000001,3879319.4960000003,1518433.269,8,2021
Alabama,65+,Female,Hispanic,2740298.454,2621213.922,470791.0137,2041019.5769999998,187971.128,116700.2127,582750.3517,228098.6453,8,2021
Alabama,65+,Female,Asian,806055.8752,771027.2867,138482.6758,600363.7374,55291.50734,34327.24342,171415.396,67094.97385,8,2021
Alabama,65+,Female,AmericanIndian,237589.7064,227264.8241,40818.58257,176960.74,16297.49674,10118.15674,50525.69539,19776.63786,8,2021
Alabama,65+,Female,OtherPacific_Islander,16033.66117,15336.889969999998,2754.628271,11942.13583,1099.831068,682.8203934999999,3409.709505,1334.619733,8,2021
Alabama,65+,Female,TwoOrMore_Races,1260828.81,1206037.257,216613.9504,939086.1354,86486.71582,53694.512760000005,268127.1565,104949.6426,8,2021
Alaska,0-18,Male,NonHispanic_White,10826119.36,14311751.24,12143470.03,5738222.561000001,45499.93187,510968.3275,0.0,92169.34541000001,8,2021
Alaska,0-18,Male,AfricanAmerican,569403.1544,752731.0599,638689.627,301803.6211,2393.083233,26874.539960000002,0.0,4847.675722999999,8,2021
Alaska,0-18,Male,Hispanic,1183562.889,1564628.753,1327581.932,627329.7977,4974.269079,55861.48918,0.0,10076.391459999999,8,2021
