State,Age Group,Gender,Race,Total Cost,IP Actual Cost,OP Actual Cost,Prescribed Drugs,Hospice Benefits,Federally Qualified Health Center,Rehabilative Services,Home Health Services,Month,Year
Alabama,65+,Male,NonHispanic_White,1921209071.0,564083878.5,257153959.7,97725516.12,91126131.15,6957896.836,47393058.43,106087037.3,8,2021
Alabama,65+,Male,AfricanAmerican,767833286.0,225442605.2,102774535.5,39057125.7,36419605.65,2780803.439,18941180.5,42398903.74,8,2021
Alabama,65+,Male,Hispanic,115343713.8,33865928.71,15438763.63,5867151.125,5470943.557,417731.5594,2845339.14,6369152.1389999995,8,2021
Alabama,65+,Male,Asian,33928230.7,9961626.902999999,4541295.897,1725816.2619999999,1609272.227,122875.2938,836953.4812,1873479.326,8,2021
Alabama,65+,Male,AmericanIndian,10000545.4,2936248.0739999996,1338573.655,508694.4858,474342.4467,36218.21499,246696.9574,552219.0419,8,2021
Alabama,65+,Male,OtherPacific_Islander,674883.4316,198151.7105,90333.19144,34329.075730000004,32010.83996,2444.174018,16648.26093,37266.31571,8,2021
Alabama,65+,Male,TwoOrMore_Races,53070378.94,15581929.97,7103473.69,2699513.682,2517216.0519999997,192200.9569,1309158.7,2930487.5530000003,8,2021
Alabama,65+,Female,NonHispanic_White,2071019996.0,608069683.8,277206161.9,105345899.7,98231911.7,7500455.676,51088646.83,114359430.7,8,2021
Alabama,65+,Female,AfricanAmerican,827706944.3,243022037.8,110788628.6,42102699.58,39259512.52,2997643.316,20418164.88,45705060.84,8,2021
Alabama,65+,Female,Hispanic,124337918.9,36506706.44,16642638.58,6324656.429,5897553.618,450305.1884,3067211.3439999996,6865802.187999999,8,2021
Alabama,65+,Female,Asian,36573866.57,10738408.86,4895414.432,1860390.96,1734759.1230000001,132456.7921,902216.9539,2019568.409,8,2021
Alabama,65+,Female,AmericanIndian,10780362.12,3165209.122,1442952.174,548361.1691,511330.4467,39042.41793,265933.7495,595279.6578,8,2021
Alabama,65+,Female,OtherPacific_Islander,727509.1,213603.0696,97377.1406,37005.96847,34506.962660000005,2634.7644,17946.44935,40172.24684,8,2021
Alabama,65+,Female,TwoOrMore_Races,57208670.14,16796968.66,7657384.238,2910014.793,2713502.064,207188.2915,1411243.517,3158999.4110000003,8,2021
Alaska,65+,Male,NonHispanic_White,208071716.6,82264877.62,39579364.98,6633386.157000001,2764005.523,1036191.0140000001,2023450.726,3521501.354,8,2021
Alaska,65+,Male,AfricanAmerican,10943597.4,4326747.123,2081689.155,348885.0321,145373.7402,54498.79244,106424.0276,185214.4718,8,2021
Alaska,65+,Male,Hispanic,22747390.24,8993587.907,4327004.532,725193.3419,302174.2373,113281.3328,221213.2627,384987.2863,8,2021
Alaska,65+,Male,Asian,23416431.13,9258105.197999999,4454269.371,746522.5578,311061.7148,116613.1367,227719.5351,396310.4418,8,2021
Alaska,65+,Male,AmericanIndian,47167382.7,18648469.04,8972171.161,1503709.7240000002,626567.1684,234892.1753,458692.2065,798282.4613,8,2021
Alaska,65+,Male,OtherPacific_Islander,1338081.779,529034.5828,254529.6783,42658.431880000004,17774.955130000002,6663.60781,13012.54486,22646.31096,8,2021
Alaska,65+,Male,TwoOrMore_Races,24372203.83,9635987.043,4636076.284,776992.8663,323758.1114,121372.8565,237014.21,412486.3782,8,2021
Alaska,65+,Female,NonHispanic_White,196909685.0,77851768.64,37456125.32,6277537.381,2615730.124,980604.4263,1914902.476,3332590.002,8,2021
Alaska,65+,Female,AfricanAmerican,10356526.84,4094638.268,1970016.697,330169.0538,137575.1489,51575.19835,100714.8982,175278.6198,8,2021
Alaska,65+,Female,Hispanic,21527103.83,8511125.832,4094881.8680000002,686290.2603,285964.065,107204.3424,209346.2513,364334.5983,8,2021
