State,Age Group,Gender,Race,Poverty Rate,Month,Year
Alabama,0-18,Male,NonHispanic_White,0.002431,8,2021
Alabama,0-18,Male,AfricanAmerican,0.006188,8,2021
Alabama,0-18,Male,Hispanic,0.006851,8,2021
Alabama,0-18,Male,Asian,0.001989,8,2021
Alabama,0-18,Male,AmericanIndian,0.0,8,2021
Alabama,0-18,Male,OtherPacific_Islander,0.00442,8,2021
Alabama,0-18,Male,TwoOrMore_Races,0.003757,8,2021
Alabama,0-18,Female,NonHispanic_White,0.003179,8,2021
Alabama,0-18,Female,AfricanAmerican,0.008092,8,2021
Alabama,0-18,Female,Hispanic,0.008959,8,2021
Alabama,0-18,Female,Asian,0.002601,8,2021
Alabama,0-18,Female,AmericanIndian,0.0,8,2021
Alabama,0-18,Female,OtherPacific_Islander,0.0057799999999999995,8,2021
Alabama,0-18,Female,TwoOrMore_Races,0.004913,8,2021
Alabama,19-64,Male,NonHispanic_White,0.002431,8,2021
Alabama,19-64,Male,AfricanAmerican,0.006188,8,2021
Alabama,19-64,Male,Hispanic,0.006851,8,2021
Alabama,19-64,Male,Asian,0.001989,8,2021
Alabama,19-64,Male,AmericanIndian,0.0,8,2021
Alabama,19-64,Male,OtherPacific_Islander,0.00442,8,2021
Alabama,19-64,Male,TwoOrMore_Races,0.003757,8,2021
Alabama,19-64,Female,NonHispanic_White,0.003179,8,2021
Alabama,19-64,Female,AfricanAmerican,0.008092,8,2021
Alabama,19-64,Female,Hispanic,0.008959,8,2021
Alabama,19-64,Female,Asian,0.002601,8,2021
Alabama,19-64,Female,AmericanIndian,0.0,8,2021
Alabama,19-64,Female,OtherPacific_Islander,0.0057799999999999995,8,2021
Alabama,19-64,Female,TwoOrMore_Races,0.004913,8,2021
Alabama,65+,Male,NonHispanic_White,0.002431,8,2021
Alabama,65+,Male,AfricanAmerican,0.006188,8,2021
Alabama,65+,Male,Hispanic,0.006851,8,2021
Alabama,65+,Male,Asian,0.001989,8,2021
Alabama,65+,Male,AmericanIndian,0.0,8,2021
Alabama,65+,Male,OtherPacific_Islander,0.00442,8,2021
Alabama,65+,Male,TwoOrMore_Races,0.003757,8,2021
Alabama,65+,Female,NonHispanic_White,0.003179,8,2021
Alabama,65+,Female,AfricanAmerican,0.008092,8,2021
Alabama,65+,Female,Hispanic,0.008959,8,2021
Alabama,65+,Female,Asian,0.002601,8,2021
Alabama,65+,Female,AmericanIndian,0.0,8,2021
Alabama,65+,Female,OtherPacific_Islander,0.0057799999999999995,8,2021
Alabama,65+,Female,TwoOrMore_Races,0.004913,8,2021
Alaska,0-18,Male,NonHispanic_White,0.000336,8,2021
Alaska,0-18,Male,AfricanAmerican,0.0,8,2021
Alaska,0-18,Male,Hispanic,0.0,8,2021
Alaska,0-18,Male,Asian,0.0,8,2021
Alaska,0-18,Male,AmericanIndian,0.001064,8,2021
Alaska,0-18,Male,OtherPacific_Islander,0.000616,8,2021
Alaska,0-18,Male,TwoOrMore_Races,0.00044800000000000005,8,2021
Alaska,0-18,Female,NonHispanic_White,0.000288,8,2021
Alaska,0-18,Female,AfricanAmerican,0.0,8,2021
Alaska,0-18,Female,Hispanic,0.0,8,2021
Alaska,0-18,Female,Asian,0.0,8,2021
Alaska,0-18,Female,AmericanIndian,0.0009119999999999999,8,2021
Alaska,0-18,Female,OtherPacific_Islander,0.000528,8,2021
Alaska,0-18,Female,TwoOrMore_Races,0.000384,8,2021
Alaska,19-64,Male,NonHispanic_White,0.000336,8,2021
Alaska,19-64,Male,AfricanAmerican,0.0,8,2021
Alaska,19-64,Male,Hispanic,0.0,8,2021
Alaska,19-64,Male,Asian,0.0,8,2021
Alaska,19-64,Male,AmericanIndian,0.001064,8,2021
Alaska,19-64,Male,OtherPacific_Islander,0.000616,8,2021
Alaska,19-64,Male,TwoOrMore_Races,0.00044800000000000005,8,2021
Alaska,19-64,Female,NonHispanic_White,0.000288,8,2021
Alaska,19-64,Female,AfricanAmerican,0.0,8,2021
Alaska,19-64,Female,Hispanic,0.0,8,2021
Alaska,19-64,Female,Asian,0.0,8,2021
Alaska,19-64,Female,AmericanIndian,0.0009119999999999999,8,2021
Alaska,19-64,Female,OtherPacific_Islander,0.000528,8,2021
Alaska,19-64,Female,TwoOrMore_Races,0.000384,8,2021
Alaska,65+,Male,NonHispanic_White,0.000336,8,2021
Alaska,65+,Male,AfricanAmerican,0.0,8,2021
Alaska,65+,Male,Hispanic,0.0,8,2021
Alaska,65+,Male,Asian,0.0,8,2021
Alaska,65+,Male,AmericanIndian,0.001064,8,2021
Alaska,65+,Male,OtherPacific_Islander,0.000616,8,2021
Alaska,65+,Male,TwoOrMore_Races,0.00044800000000000005,8,2021
Alaska,65+,Female,NonHispanic_White,0.000288,8,2021
Alaska,65+,Female,AfricanAmerican,0.0,8,2021
Alaska,65+,Female,Hispanic,0.0,8,2021
Alaska,65+,Female,Asian,0.0,8,2021
Alaska,65+,Female,AmericanIndian,0.0009119999999999999,8,2021
Alaska,65+,Female,OtherPacific_Islander,0.000528,8,2021
Alaska,65+,Female,TwoOrMore_Races,0.000384,8,2021
Arizona,0-18,Male,NonHispanic_White,0.0015119999999999999,8,2021
Arizona,0-18,Male,AfricanAmerican,0.00336,8,2021
Arizona,0-18,Male,Hispanic,0.003696,8,2021
Arizona,0-18,Male,Asian,0.001848,8,2021
Arizona,0-18,Male,AmericanIndian,0.005376,8,2021
Arizona,0-18,Male,OtherPacific_Islander,0.002184,8,2021
Arizona,0-18,Male,TwoOrMore_Races,0.002352,8,2021
Arizona,0-18,Female,NonHispanic_White,0.0017640000000000002,8,2021
Arizona,0-18,Female,AfricanAmerican,0.00392,8,2021
Arizona,0-18,Female,Hispanic,0.004312,8,2021
Arizona,0-18,Female,Asian,0.002156,8,2021
Arizona,0-18,Female,AmericanIndian,0.006272,8,2021
Arizona,0-18,Female,OtherPacific_Islander,0.002548,8,2021
Arizona,0-18,Female,TwoOrMore_Races,0.002744,8,2021
Arizona,19-64,Male,NonHispanic_White,0.0015119999999999999,8,2021
Arizona,19-64,Male,AfricanAmerican,0.00336,8,2021
Arizona,19-64,Male,Hispanic,0.003696,8,2021
Arizona,19-64,Male,Asian,0.001848,8,2021
Arizona,19-64,Male,AmericanIndian,0.005376,8,2021
Arizona,19-64,Male,OtherPacific_Islander,0.002184,8,2021
Arizona,19-64,Male,TwoOrMore_Races,0.002352,8,2021
Arizona,19-64,Female,NonHispanic_White,0.0017640000000000002,8,2021
