State,Personal Income (Milionsof Dollars),Per Capital Income (Dollars),Regional Price Parity (Base line is 100),Month,Year
Alabama,189162,38918,86.6,9,2021
Alaska,41283,55674,105.4,9,2021
Arizona,280120,40546,95.9,9,2021
Arkansas,118698,39722,86.9,9,2021
California,2212691,56308,114.4,9,2021
Colorado,288103,52097,103.0,9,2021
Connecticut,247887,69094,108.7,9,2021
Delaware,45574,47837,100.2,9,2021
District of Columbia,51843,75756,115.9,9,2021
Florida,947207,45855,99.7,9,2021
Georgia,434677,42146,92.1,9,2021
Hawaii,71946,50358,118.4,9,2021
Idaho,66433,39543,93.0,9,2021
Illinois,663338,51679,98.9,9,2021
Indiana,285864,43091,90.3,9,2021
Iowa,144196,46056,90.2,9,2021
Kansas,137305,47221,90.5,9,2021
Kentucky,172714,38934,87.8,9,2021
Louisiana,198025,42257,90.4,9,2021
Maine,58655,44094,98.4,9,2021
Maryland,349267,57972,109.5,9,2021
Massachusetts,437551,64122,107.8,9,2021
Michigan,439361,44231,93.3,9,2021
Minnesota,287250,51990,97.5,9,2021
Mississippi,106053,35524,86.4,9,2021
Missouri,261548,42939,89.5,9,2021
Montana,44773,43107,94.1,9,2021
Nebraska,95411,50016,90.5,9,2021
Nevada,128090,43579,97.4,9,2021
New Hampshire,74687,55945,105.9,9,2021
New Jersey,549836,61240,113.2,9,2021
New Mexico,80065,38393,93.6,9,2021
New York,1176080,59289,115.6,9,2021
North Carolina,428639,42203,90.9,9,2021
North Dakota,41405,54801,91.5,9,2021
Ohio,517918,44561,89.3,9,2021
Oklahoma,167503,42717,89.0,9,2021
Oregon,185840,45482,99.8,9,2021
Pennsylvania,648694,50730,98.4,9,2021
Rhode Island,53272,50373,99.6,9,2021
South Carolina,196049,39527,90.3,9,2021
South Dakota,41398,48051,88.3,9,2021
Tennessee,288170,43338,90.2,9,2021
Texas,1289310,46204,96.9,9,2021
Utah,124871,41018,97.3,9,2021
Vermont,31220,50084,101.6,9,2021
Virginia,445462,52941,102.3,9,2021
Washington,397772,54632,105.5,9,2021
West Virginia,67062,36673,87.6,9,2021
Wisconsin,270226,46809,92.8,9,2021
Wyoming,32270,55172,96.7,9,2021
