State,Age Group,Gender,Race,Total Cost,IP Actual Cost,OP Actual Cost,Prescribed Drugs,Hospice Benefits,Federally Qualified Health Center,Rehabilative Services,Home Health Services,Month,Year
Alabama,0-18,Male,NonHispanic_White,9798964.617,67150619.95,9536148.118999999,54071767.49,4858336.95,2699271.506,13594293.45,5855789.788,9,2021
Alabama,0-18,Male,AfricanAmerican,3931450.8239999996,26941556.63,3826005.9960000003,21694179.25,1949217.448,1082976.988,5454177.893999999,2349406.339,9,2021
Alabama,0-18,Male,Hispanic,610512.7228,4183738.7339999997,594138.2565,3368876.538,302692.8493,168174.8696,846976.1281,364837.9504,9,2021
Alabama,0-18,Male,Asian,180799.6547,1238988.952,175950.4554,997672.435,89640.65871,49803.97166,250826.8636,108044.555,9,2021
Alabama,0-18,Male,AmericanIndian,67172.09392,460318.8119,65370.48169,370663.0227,33303.99473,18503.55891,93189.14725,40141.55342,9,2021
Alabama,0-18,Male,OtherPacific_Islander,3766.659472,25812.26983,3665.634487,20784.8424,1867.513723,1037.582743,5225.5596590000005,2250.928229,9,2021
Alabama,0-18,Male,TwoOrMore_Races,254563.4027,1744479.236,247735.7974,1404708.9319999998,126212.8024,70123.30037000001,353160.7403,152125.2328,9,2021
Alabama,0-18,Female,NonHispanic_White,10554121.29,72325578.81,10271050.85,58238805.3,5232744.422,2907290.7169999997,14641936.93,6307065.907000001,9,2021
Alabama,0-18,Female,AfricanAmerican,4234427.867,29017806.22,4120856.939,23366039.99,2099433.785,1166436.55,5874503.815,2530463.21,9,2021
Alabama,0-18,Female,Hispanic,657561.8524,4506158.331,639925.4887,3628498.825,326019.8572,181135.2567,912248.2971,392954.1671,9,2021
Alabama,0-18,Female,Asian,194732.9702,1334471.568,189510.0676,1074558.007,96548.81117,53642.112010000004,270156.8222,116371.0027,9,2021
Alabama,0-18,Female,AmericanIndian,72348.70767,495793.256,70408.25429,399228.1483,35870.56526,19929.534669999997,100370.7638,43235.06004,9,2021
Alabama,0-18,Female,OtherPacific_Islander,4056.936879,27801.49099,3948.1264090000004,22386.62514,2011.433566,1117.5439999999999,5628.267129,2424.39589,9,2021
Alabama,0-18,Female,TwoOrMore_Races,274181.3174,1878917.4330000002,266827.5431,1512962.749,135939.3852,75527.34868,380377.0534,163848.7556,9,2021
Alabama,19-64,Male,NonHispanic_White,24283904.95,165387220.1,23486857.29,133174933.0,11965739.75,6648114.505,33481781.77,14422395.43,9,2021
Alabama,19-64,Male,AfricanAmerican,9742965.901,66355145.48,9423181.739,53431226.7,4800784.495,2667295.6040000003,13433253.79,5786421.384,9,2021
Alabama,19-64,Male,Hispanic,1512979.535,10304252.13,1463320.438,8297304.267000001,745511.0454,414202.7905,2086042.205,898570.0273,9,2021
Alabama,19-64,Male,Asian,448059.7492,3051542.02,433353.5075,2457196.5330000003,220778.5924,122663.6541,617768.7969,266106.0852,9,2021
