State,Age Group,Gender,Race,Total Cost,IP Actual Cost,OP Actual Cost,Prescribed Drugs,Hospice Benefits,Federally Qualified Health Center,Rehabilative Services,Home Health Services,Month,Year
Alabama,65+,Male,NonHispanic_White,312926121.4,574505301.2,263701673.1,107766433.8,94094425.37,6939541.086,49737176.62,109159653.6,9,2021
Alabama,65+,Male,AfricanAmerican,125549352.0,230497754.4,105799969.7,43237061.42,37751703.43,2784219.108,19955094.41,43796036.3,9,2021
Alabama,65+,Male,Hispanic,19496486.2,35793862.86,16429616.06,6714258.241,5862440.174,432359.7736,3098815.06,6801061.126,9,2021
Alabama,65+,Male,Asian,5773766.606000001,10600136.25,4865531.5430000005,1988387.0159999998,1736126.2419999999,128040.735,917695.3596,2014093.166,9,2021
Alabama,65+,Male,AmericanIndian,2145114.6769999997,3938245.066,1807680.122,738741.0096,645019.1245,47570.689739999994,340949.3176,748291.5584,9,2021
Alabama,65+,Male,OtherPacific_Islander,120286.8043,220836.1719,101365.2405,41424.729510000005,36169.2967,2667.515313,19118.653319999998,41960.2743,9,2021
Alabama,65+,Male,TwoOrMore_Races,8129383.19,14924844.62,6850600.836,2799621.3030000003,2444441.635,180279.5765,1292102.321,2835815.205,9,2021
Alabama,65+,Female,NonHispanic_White,337041755.8,618779520.9,284023828.1,116071448.1,101345807.1,7474336.44,53570169.42,117572036.3,9,2021
Alabama,65+,Female,AfricanAmerican,135224805.9,248261051.3,113953438.6,46569123.2,40661036.39,2998784.8010000004,21492932.67,47171175.44,9,2021
Alabama,65+,Female,Hispanic,20998981.84,38552314.95,17695763.52,7231692.185,6314228.805,465679.5559,3337625.0730000003,7325184.53,9,2021
Alabama,65+,Female,Asian,6218721.614,11417035.17,5240493.465,2141621.953,1869920.716,137908.1873,988417.5023,2169309.1459999997,9,2021
Alabama,65+,Female,AmericanIndian,2310427.8219999997,4241745.706,1946988.892,795672.0451,694727.4881,51236.72235,367224.5581,805958.6064,9,2021
Alabama,65+,Female,OtherPacific_Islander,129556.7003,237854.8994,109176.9472,44617.124019999996,38956.68157,2873.087234,20592.0313,45193.94055,9,2021
Alabama,65+,Female,TwoOrMore_Races,8755873.661,16075026.95,7378542.0139999995,3015373.965,2632822.3959999997,194172.8123,1391678.115,3054357.1489999997,9,2021
Alaska,65+,Male,NonHispanic_White,23687312.02,92676251.09,44344776.81,7616772.815,2874100.832,1338967.335,2021005.0280000002,3978889.8710000003,9,2021
Alaska,65+,Male,AfricanAmerican,1116410.1979999999,4367938.063,2090020.218,358987.2433,135459.6703,63107.067039999994,95252.28617,187529.6456,9,2021
Alaska,65+,Male,Hispanic,2577990.699,10086349.73,4826230.263,828965.7116,312800.5914,145725.4978,219954.5545,433039.4714,9,2021
Alaska,65+,Male,Asian,2297539.828,8989089.928,4301201.029,738785.3413,278772.0752,129872.5148,196026.444,385930.5749,9,2021
Alaska,65+,Male,AmericanIndian,5781602.571,22620432.87,10823679.58,1859103.019,701510.9498,326815.3423,493287.2018,971168.0196,9,2021
Alaska,65+,Male,OtherPacific_Islander,474609.1663,1856901.206,888511.0107,152612.9344,57586.71976,26828.12512,40493.72552,79722.74788,9,2021
Alaska,65+,Male,TwoOrMore_Races,2621136.986,10255158.93,4907003.991,842839.6148,318035.7478,148164.4183,223635.8023,440286.994,9,2021
Alaska,65+,Female,NonHispanic_White,22092788.99,86437703.77,41359686.4,7104046.016,2680629.324,1248834.092,1884960.083,3711048.9469999997,9,2021
Alaska,65+,Female,AfricanAmerican,1041258.498,4073908.17,1949329.4819999998,334821.8409,126341.1362,58858.98385,88840.33179,174905.9955,9,2021
Alaska,65+,Female,Hispanic,2404451.99,9407382.15,4501350.204,773163.478,291744.2661,135915.9144,205148.2058,403889.2069,9,2021
Alaska,65+,Female,Asian,2142879.807,8383984.929,4011663.5710000005,689053.6436,260006.3962,121130.0827,182830.8277,359951.4689,9,2021
Alaska,65+,Female,AmericanIndian,5392411.157000001,21097727.33,10095078.28,1733956.5869999998,654288.3960000001,304815.6072,460081.3318,905793.3678,9,2021
Alaska,65+,Female,OtherPacific_Islander,442660.6173,1731902.99,828700.4561,142339.7198,53710.241460000005,25022.17671,37767.87052,74356.17199,9,2021
Alaska,65+,Female,TwoOrMore_Races,2444693.864,9564827.876,4576686.61,786103.4525,296627.0154,138190.6577,208581.6485,410648.8589,9,2021
Arizona,65+,Male,NonHispanic_White,276598641.5,501947636.8,209166132.4,95437502.47,61961852.72,3577814.5069999998,43301707.37,51464943.79,9,2021
Arizona,65+,Male,AfricanAmerican,19889113.75,36093068.24,15040308.86,6862533.135,4455431.632,257266.483,3113654.422,3700640.4489999996,9,2021
Arizona,65+,Male,Hispanic,153772314.6,279052888.7,116283869.4,53057547.85,34447087.15,1989051.049,24073161.5,28611433.1,9,2021
Arizona,65+,Male,Asian,15734498.88,28553627.32,11898555.45,5429026.2129999995,3524741.4689999996,203526.3732,2463246.609,2927617.778,9,2021
Arizona,65+,Male,AmericanIndian,19646024.58,35651930.74,14856482.86,6778657.73,4400976.357,254122.1148,3075598.646,3655410.3989999997,9,2021
Arizona,65+,Male,OtherPacific_Islander,854495.2573,1550665.154,646176.2325,294834.7569,191418.5442,11052.93038,133771.8196,158990.4786,9,2021
Arizona,65+,Male,TwoOrMore_Races,11535685.97,20933979.58,8723379.139,3980269.2180000003,2584150.347,149214.5601,1805919.565,2146371.461,9,2021
Arizona,65+,Female,NonHispanic_White,285249620.5,517646696.1,215708072.7,98422433.37,63899789.53,3689715.267,44656024.08,53074576.24,9,2021
Arizona,65+,Female,AfricanAmerican,20511171.41,37221925.47,15510713.91,7077167.704,4594780.999,265312.8238,3211037.977,3816382.749,9,2021
Arizona,65+,Female,Hispanic,158581742.0,287780627.5,119920797.3,54716991.04,35524464.2,2051261.1840000001,24826080.66,29506292.55,9,2021
Arizona,65+,Female,Asian,16226615.61,29446678.82,12270698.11,5598826.006,3634982.3010000004,209891.9228,2540287.8219999997,3019182.797,9,2021
Arizona,65+,Female,AmericanIndian,20260479.32,36766990.82,15321138.51,6990668.987000001,4538622.565,262070.1115,3171791.958,3769738.0710000005,9,2021
Arizona,65+,Female,OtherPacific_Islander,881220.6978,1599164.205,666386.2270000001,304056.0939,197405.4059,11398.62502,137955.7057,163963.1107,9,2021
Arizona,65+,Female,TwoOrMore_Races,11896479.42,21588716.77,8996214.065,4104757.268,2664972.9790000003,153881.4378,1862402.0269999998,2213501.994,9,2021
Arkansas,65+,Male,NonHispanic_White,226569561.2,432867801.6,214536932.8,71953465.13,44528263.72,7941744.364,61302982.65,57927718.9,9,2021
Arkansas,65+,Male,AfricanAmerican,47308675.69,90384614.48,44796212.36,15024185.64,9297688.43,1658269.5690000001,12800320.18,12095550.93,9,2021
Arkansas,65+,Male,Hispanic,22497332.19,42981813.95,21302546.64,7144653.496,4421455.096,788579.2786,6087108.779,5751960.362000001,9,2021
Arkansas,65+,Male,Asian,4231641.054,8084674.529,4006907.582,1343875.3,831654.6490000001,148328.0072,1144956.175,1081916.354,9,2021
Arkansas,65+,Male,AmericanIndian,1853351.6519999998,3540882.769,1754924.08,588583.3594,364243.6817,64963.912000000004,501461.8185,473851.9726,9,2021
Arkansas,65+,Male,OtherPacific_Islander,824902.1802,1575999.845,781093.3768,261970.6282,162120.0202,28914.57355,223193.9886,210905.2133,9,2021
Arkansas,65+,Male,TwoOrMore_Races,6909894.886,13201557.14,6542925.039,2194429.288,1358018.351,242206.4927,1869611.9819999998,1766673.54,9,2021
Arkansas,65+,Female,NonHispanic_White,237566216.0,453877233.6,224949578.6,75445758.69,46689462.88,8327200.472,64278350.28,60739266.6,9,2021
Arkansas,65+,Female,AfricanAmerican,49604823.38,94771472.1,46970416.53,15753391.19,9748955.889,1738754.4230000002,13421589.43,12682613.9,9,2021
Arkansas,65+,Female,Hispanic,23589250.25,45067955.48,22336475.25,7491422.443,4636052.393,826853.3259999999,6382549.321,6031134.326,9,2021
Arkansas,65+,Female,Asian,4437025.642,8477067.817,4201384.63,1409100.888,872019.3786,155527.1732,1200527.134,1134427.647,9,2021
Arkansas,65+,Female,AmericanIndian,1943304.9009999998,3712741.0939999996,1840100.104,617150.5155,381922.4114,68116.96447,525800.4917,496850.5897,9,2021
Arkansas,65+,Female,OtherPacific_Islander,864939.1758,1652491.701,819004.0925,274685.4896,169988.5877,30317.955289999998,234026.8084,221141.5919,9,2021
Arkansas,65+,Female,TwoOrMore_Races,7245269.719,13842300.61,6860488.8270000005,2300936.893,1423930.378,253962.093,1960354.4340000001,1852419.8290000001,9,2021
California,65+,Male,NonHispanic_White,820948470.4,2114959029.0,705257785.4,229475647.0,186928397.5,36565857.14,84419586.86,326266311.3,9,2021
California,65+,Male,AfricanAmerican,117630545.0,303044335.0,101053672.3,32880681.8,26784250.26,5239380.863,12096157.52,46749443.37,9,2021
California,65+,Male,Hispanic,854575091.8,2201589224.0,734145635.7,238875129.4,194585114.9,38063620.13,87877471.97,339630406.8,9,2021
California,65+,Male,Asian,310240598.7,799253764.3,266520500.9,86720013.09,70641191.31,13818423.22,31902590.86,123297697.0,9,2021
California,65+,Male,AmericanIndian,6923462.864,17836491.35,5947786.326,1935281.174,1576459.26,308377.8862,711951.9625,2751564.528,9,2021
California,65+,Male,OtherPacific_Islander,7396034.754,19053949.24,6353761.873,2067376.8469999998,1684062.976,329426.7057,760547.3679,2939376.909,9,2021
California,65+,Male,TwoOrMore_Races,71056592.55,183058727.1,61043070.19,19862096.26,16179450.3,3164930.937,7306875.405,28239741.21,9,2021
California,65+,Female,NonHispanic_White,842401051.2,2170225993.0,723687199.9,235472180.3,191813109.1,37521376.31,86625593.78,334792125.9,9,2021
California,65+,Female,AfricanAmerican,120704402.7,310963325.5,103694352.1,33739901.97,27484161.78,5376293.526000001,12412247.76,47971074.51,9,2021
California,65+,Female,Hispanic,876906385.3,2259119962.0,753329931.9,245117284.9,199669907.8,39058278.03,90173838.47,348505444.6,9,2021
California,65+,Female,Asian,318347638.0,820139430.8,273485070.3,88986133.5,72487148.66,14179518.78,32736252.09,126519645.6,9,2021
California,65+,Female,AmericanIndian,7104383.046,18302584.89,6103210.657000001,1985852.894,1617654.44,316436.2501,730556.3056,2823466.922,9,2021
California,65+,Female,OtherPacific_Islander,7589303.927999999,19551856.72,6519794.937000001,2121400.419,1728069.9980000001,338035.106,780421.5798,3016187.115,9,2021
California,65+,Female,TwoOrMore_Races,72913404.95,187842318.6,62638214.64,20381121.81,16602242.94,3247635.1989999996,7497814.716,28977686.83,9,2021
Colorado,65+,Male,NonHispanic_White,177846720.0,406589618.4,218586292.0,72083771.78,46376060.4,8916667.417000001,26457284.09,54009720.96,9,2021
Colorado,65+,Male,AfricanAmerican,9969352.106,22791733.63,12253044.14,4040718.333,2599650.28,499831.5239,1483086.0019999999,3027561.742,9,2021
Colorado,65+,Male,Hispanic,55131140.53,126039712.1,67760100.27,22345425.05,14376228.6,2764099.582,8201558.3270000005,16742605.75,9,2021
Colorado,65+,Male,Asian,8046451.58,18395636.86,9889662.368999999,3261339.7610000004,2098226.633,403423.4233,1197026.605,2443602.022,9,2021
Colorado,65+,Male,AmericanIndian,1184430.0,2707820.205,1455748.871,480066.10299999994,308856.9597,59383.54325,176201.1748,359695.8876,9,2021
Colorado,65+,Male,OtherPacific_Islander,335668.4211,767398.4386,412560.4087,136051.1223,87530.31245,16829.344240000002,49935.55561,101938.1058,9,2021
Colorado,65+,Male,TwoOrMore_Races,6334542.632,14481904.82,7785604.285,2567479.037,1651822.039,317593.7677,942355.271,1923717.6819999998,9,2021
Colorado,65+,Female,NonHispanic_White,178851130.4,408885881.4,219820783.9,72490873.41,46637974.69,8967025.351,26606704.74,54314747.25,9,2021
Colorado,65+,Female,AfricanAmerican,10025655.2,22920452.64,12322244.66,4063538.768,2614332.1119999997,502654.3816,1491461.905,3044660.255,9,2021
Colorado,65+,Female,Hispanic,55442500.17,126751536.3,68142783.46,22471623.48,14457420.06,2779710.1610000003,8247877.597999999,16837161.59,9,2021
Colorado,65+,Female,Asian,8091894.867000001,18499528.39,9945515.408,3279758.563,2110076.616,405701.8049,1203786.9540000001,2457402.5530000003,9,2021
Colorado,65+,Female,AmericanIndian,1191119.209,2723112.94,1463970.385,482777.3332,310601.2659,59718.918829999995,177196.2918,361727.3126,9,2021
Colorado,65+,Female,OtherPacific_Islander,337564.1482,771732.4121,414890.3925,136819.4871,88024.65025,16924.38995,50217.57257,102513.8133,9,2021
Colorado,65+,Female,TwoOrMore_Races,6370317.711,14563693.09,7829574.406,2581979.179,1661150.9,319387.4161,947677.3339,1934582.105,9,2021
Connecticut,65+,Male,NonHispanic_White,253319581.3,541982175.7,234981989.6,58902569.81,39159437.31,5070665.897,11924046.62,94671572.68,9,2021
Connecticut,65+,Male,AfricanAmerican,36783361.62,78698718.27,34120644.98,8552969.0,5686160.289,736287.8795,1731435.5119999999,13746820.03,9,2021
Connecticut,65+,Male,Hispanic,59084829.33,126413142.6,54807728.17,13738567.97,9133635.301,1182693.527,2781191.474,22081410.71,9,2021
Connecticut,65+,Male,Asian,16753139.42,35843667.92,15540393.73,3895486.3219999997,2589786.03,335345.4647,788589.7113,6261047.992000001,9,2021
Connecticut,65+,Male,AmericanIndian,508326.3735,1087574.172,471529.0544,118197.4546,78579.69232,10175.10448,23927.51222,189973.6963,9,2021
Connecticut,65+,Male,OtherPacific_Islander,21630.909509999998,46279.752,20065.06614,5029.678918,3343.816694,432.9831694,1018.192009,8083.987079,9,2021
Connecticut,65+,Male,TwoOrMore_Races,8295453.797,17748284.89,7694952.866,1928881.865,1282353.702,166049.0455,390476.6356,3100209.045,9,2021
Connecticut,65+,Female,NonHispanic_White,267616728.0,572571199.3,248244177.9,62226981.91,41369563.41,5356850.067,12597029.91,100014757.6,9,2021
Connecticut,65+,Female,AfricanAmerican,38859383.99,83140408.55,36046385.83,9035691.465,6007082.451,777843.3557,1829156.294,14522679.13,9,2021
Connecticut,65+,Female,Hispanic,62419528.0,133547795.3,57901030.81,14513961.33,9649130.089,1249443.767,2938159.61,23327667.18,9,2021
Connecticut,65+,Female,Asian,17698672.68,37866654.76,16417480.64,4115344.334,2735951.402,354272.0841,833097.0594,6614416.339,9,2021
Connecticut,65+,Female,AmericanIndian,537015.8916,1148955.955,498141.7625,124868.4207,83014.66487000001,10749.378920000001,25277.96113,200695.6539,9,2021
Connecticut,65+,Female,OtherPacific_Islander,22851.74007,48891.74275,21197.52181,5313.549817,3532.5389299999997,457.4203797,1075.6579199999999,8540.240593,9,2021
Connecticut,65+,Female,TwoOrMore_Races,8763642.317,18749983.34,8129249.613,2037746.355,1354728.68,175420.7156,412514.8125,3275182.267,9,2021
Delaware,65+,Male,NonHispanic_White,87414727.87,164524088.8,73588547.89,24368546.09,17386454.02,460216.8144,11591893.44,18327772.89,9,2021
Delaware,65+,Male,AfricanAmerican,28737648.12,54087400.21,24192282.54,8011175.231000001,5715807.962,151296.5743,3810842.437,6025267.15,9,2021
Delaware,65+,Male,Hispanic,12768949.77,24032561.51,10749315.3,3559591.713,2539695.122,67225.34667,1693265.0659999999,2677196.59,9,2021
Delaware,65+,Male,Asian,5603315.602999999,10546053.46,4717052.477,1562032.5990000002,1114477.977,29500.063889999998,743044.5526,1174816.857,9,2021
Delaware,65+,Male,AmericanIndian,435646.5214,819934.4517,366741.3454,121444.8937,86648.4218,2293.570651,57770.2199,91339.64838,9,2021
Delaware,65+,Male,OtherPacific_Islander,105156.0569,197915.2125,88523.77303,29314.284689999997,20915.1363,553.620502,13944.53584,22047.501330000003,9,2021
Delaware,65+,Male,TwoOrMore_Races,3785618.048,7124947.649,3186855.829,1055314.249,752944.9067,19930.338069999998,502003.2902,793710.048,9,2021
Delaware,65+,Female,NonHispanic_White,94786341.9,178398273.5,79794211.23,26423526.08,18852639.77,499026.53,12569428.53,19873339.31,9,2021
Delaware,65+,Female,AfricanAmerican,31161070.98,58648547.37,26232398.37,8686751.226,6197817.472,164055.2933,4132207.729,6533373.106000001,9,2021
Delaware,65+,Female,Hispanic,13845745.08,26059208.19,11655796.45,3859769.233,2753865.578,72894.40634,1836056.754,2902962.436,9,2021
Delaware,65+,Female,Asian,6075838.722999999,11435393.71,5114837.737,1693757.5569999998,1208461.013,31987.78067,805704.9049,1273888.222,9,2021
Delaware,65+,Female,AmericanIndian,472384.2439,889078.8676,397668.3495,131686.2444,93955.41385,2486.985628,62641.936310000005,99042.24782,9,2021
Delaware,65+,Female,OtherPacific_Islander,114023.78300000001,214605.2439,95988.91195,31786.334860000003,22678.892999999996,600.3068758,15120.467380000002,23906.74947,9,2021
Delaware,65+,Female,TwoOrMore_Races,4104856.188,7725788.781,3455600.83,1144308.055,816440.1479999999,21611.04753,544336.8258,860642.9809999999,9,2021
