State,Age Group,Gender,Race,Poverty Rate,Month,Year
Alabama,0-18,Male,NonHispanic_White,0.0018,9,2021
Alabama,0-18,Male,AfricanAmerican,0.00468,9,2021
Alabama,0-18,Male,Hispanic,0.00504,9,2021
Alabama,0-18,Male,Asian,0.0018,9,2021
Alabama,0-18,Male,AmericanIndian,0.00216,9,2021
Alabama,0-18,Male,OtherPacific_Islander,0.00396,9,2021
Alabama,0-18,Male,TwoOrMore_Races,0.0027,9,2021
Alabama,0-18,Female,NonHispanic_White,0.0024,9,2021
Alabama,0-18,Female,AfricanAmerican,0.00624,9,2021
Alabama,0-18,Female,Hispanic,0.00672,9,2021
Alabama,0-18,Female,Asian,0.0024,9,2021
Alabama,0-18,Female,AmericanIndian,0.00288,9,2021
Alabama,0-18,Female,OtherPacific_Islander,0.00528,9,2021
Alabama,0-18,Female,TwoOrMore_Races,0.0036,9,2021
Alabama,19-64,Male,NonHispanic_White,0.0018,9,2021
Alabama,19-64,Male,AfricanAmerican,0.00468,9,2021
Alabama,19-64,Male,Hispanic,0.00504,9,2021
Alabama,19-64,Male,Asian,0.0018,9,2021
Alabama,19-64,Male,AmericanIndian,0.00216,9,2021
Alabama,19-64,Male,OtherPacific_Islander,0.00396,9,2021
Alabama,19-64,Male,TwoOrMore_Races,0.0027,9,2021
Alabama,19-64,Female,NonHispanic_White,0.0024,9,2021
Alabama,19-64,Female,AfricanAmerican,0.00624,9,2021
Alabama,19-64,Female,Hispanic,0.00672,9,2021
Alabama,19-64,Female,Asian,0.0024,9,2021
Alabama,19-64,Female,AmericanIndian,0.00288,9,2021
Alabama,19-64,Female,OtherPacific_Islander,0.00528,9,2021
Alabama,19-64,Female,TwoOrMore_Races,0.0036,9,2021
Alabama,65+,Male,NonHispanic_White,0.0018,9,2021
Alabama,65+,Male,AfricanAmerican,0.00468,9,2021
Alabama,65+,Male,Hispanic,0.00504,9,2021
Alabama,65+,Male,Asian,0.0018,9,2021
Alabama,65+,Male,AmericanIndian,0.00216,9,2021
Alabama,65+,Male,OtherPacific_Islander,0.00396,9,2021
Alabama,65+,Male,TwoOrMore_Races,0.0027,9,2021
Alabama,65+,Female,NonHispanic_White,0.0024,9,2021
Alabama,65+,Female,AfricanAmerican,0.00624,9,2021
Alabama,65+,Female,Hispanic,0.00672,9,2021
Alabama,65+,Female,Asian,0.0024,9,2021
Alabama,65+,Female,AmericanIndian,0.00288,9,2021
Alabama,65+,Female,OtherPacific_Islander,0.00528,9,2021
Alabama,65+,Female,TwoOrMore_Races,0.0036,9,2021
Alaska,0-18,Male,NonHispanic_White,0.00023999999999999998,9,2021
Alaska,0-18,Male,AfricanAmerican,0.0,9,2021
Alaska,0-18,Male,Hispanic,0.000816,9,2021
Alaska,0-18,Male,Asian,0.0,9,2021
Alaska,0-18,Male,AmericanIndian,0.001056,9,2021
Alaska,0-18,Male,OtherPacific_Islander,0.0,9,2021
Alaska,0-18,Male,TwoOrMore_Races,0.000384,9,2021
Alaska,0-18,Female,NonHispanic_White,0.00028,9,2021
Alaska,0-18,Female,AfricanAmerican,0.0,9,2021
Alaska,0-18,Female,Hispanic,0.0009519999999999999,9,2021
Alaska,0-18,Female,Asian,0.0,9,2021
Alaska,0-18,Female,AmericanIndian,0.001232,9,2021
Alaska,0-18,Female,OtherPacific_Islander,0.0,9,2021
Alaska,0-18,Female,TwoOrMore_Races,0.00044800000000000005,9,2021
Alaska,19-64,Male,NonHispanic_White,0.00023999999999999998,9,2021
Alaska,19-64,Male,AfricanAmerican,0.0,9,2021
Alaska,19-64,Male,Hispanic,0.000816,9,2021
Alaska,19-64,Male,Asian,0.0,9,2021
Alaska,19-64,Male,AmericanIndian,0.001056,9,2021
Alaska,19-64,Male,OtherPacific_Islander,0.0,9,2021
Alaska,19-64,Male,TwoOrMore_Races,0.000384,9,2021
Alaska,19-64,Female,NonHispanic_White,0.00028,9,2021
Alaska,19-64,Female,AfricanAmerican,0.0,9,2021
Alaska,19-64,Female,Hispanic,0.0009519999999999999,9,2021
Alaska,19-64,Female,Asian,0.0,9,2021
Alaska,19-64,Female,AmericanIndian,0.001232,9,2021
Alaska,19-64,Female,OtherPacific_Islander,0.0,9,2021
Alaska,19-64,Female,TwoOrMore_Races,0.00044800000000000005,9,2021
Alaska,65+,Male,NonHispanic_White,0.00023999999999999998,9,2021
Alaska,65+,Male,AfricanAmerican,0.0,9,2021
Alaska,65+,Male,Hispanic,0.000816,9,2021
Alaska,65+,Male,Asian,0.0,9,2021
Alaska,65+,Male,AmericanIndian,0.001056,9,2021
Alaska,65+,Male,OtherPacific_Islander,0.0,9,2021
Alaska,65+,Male,TwoOrMore_Races,0.000384,9,2021
Alaska,65+,Female,NonHispanic_White,0.00028,9,2021
Alaska,65+,Female,AfricanAmerican,0.0,9,2021
